id,audio,answer,at,user
0DHhOkaUqVj9Z33gXCZV,4_1.wav,ㅗ,2023-09-18T16:49:06.979Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0DWwSlKUHVdHr19VtsMK,3_5.wav,ㅡ,2023-09-28T06:38:23.848Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0E8M8BOxCJp8cJTZlFLI,4_6.wav,ㅡ,2023-09-29T17:22:25.724Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0EJMdPZWgVQ3kcEqtcAw,8_3.wav,ㅓ,2023-09-19T14:00:55.648Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0EQDpRYadQzHedXp94KO,3_1.wav,ㅗ,2023-09-18T14:06:05.069Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0FB3OCAsao6QbxKdGtfs,5_4.wav,ㅓ,2023-09-19T14:04:16.430Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0FLso6CyNblXFSOEjq6d,3_7.wav,ㅡ,2023-09-27T16:08:39.269Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0FyVlnVUR2jJ87sQ2DoL,2_6.wav,ㅡ,2023-09-11T16:48:59.016Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0FzXF8q4nQv0oMHMKm7v,5_3.wav,ㅗ,2023-09-28T11:57:35.518Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0GJFOaoZqSdVWBeJuLxo,2_10.wav,ㅣ,2023-09-30T15:02:17.859Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0Gpsa1Yt4GU3JbL6UYdq,9_4.wav,ㅏ,2023-09-29T12:24:38.799Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0HBzMXYNos22Z3NzDau9,8_6.wav,ㅏ,2023-09-27T12:47:29.415Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0HGscbDrrdhD7vHQgfgj,2_9.wav,ㅣ,2023-09-29T14:21:24.256Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0HWsKf2G3fcFl2Yk0uEp,9_4.wav,ㅏ,2023-09-27T04:32:06.833Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0HiewwAVab77pgzIa04B,3_4.wav,ㅜ,2023-10-02T00:53:06.066Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
0HlpJkNVa2fU42C1TU6D,7_8.wav,ㅐ,2023-09-28T14:11:56.774Z,LYrFonkX4AVb0UQrELmpCFA72On2
0HrcMcudFcltg9QVPVmU,10_9.wav,ㅔ,2023-09-29T14:35:31.885Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0IGFEn6m1wWE8NITMQtb,5_1.wav,ㅗ,2023-10-01T14:15:35.007Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0ILan4NjUzh9efG1n44D,5_9.wav,ㅐ,2023-09-27T05:52:34.825Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0KEM0RBXFVSr4dGaFDx4,1_6.wav,ㅣ,2023-09-30T08:09:05.134Z,uwgxF6VQmggSKpqimilzt8CCpM42
0KP4n2lfsh7eowFBFOcJ,5_7.wav,ㅔ,2023-09-27T16:12:17.286Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0KZaW137SmDYIWMTBUXO,9_1.wav,ㅓ,2023-09-30T10:04:41.294Z,uwgxF6VQmggSKpqimilzt8CCpM42
0Kly12KhiKa1ZI0Y88g7,4_4.wav,ㅜ,2023-09-28T06:39:42.687Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0KpFpVDnF5mlcMkmDEvD,2_10.wav,ㅣ,2023-09-24T07:25:22.028Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0LK5DbRyXEAxGMJio8Nc,7_10.wav,ㅔ,2023-09-30T14:53:47.022Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0LRJL7w0jDS6BquN3EtP,6_5.wav,ㅡ,2023-09-28T03:54:03.538Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0LiIIXAxNmIJ0Bc4ZFE4,8_4.wav,ㅏ,2023-09-25T09:40:15.007Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0MFgGgn1WpwAyHlHBrjo,8_10.wav,ㅐ,2023-09-29T12:44:42.703Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0MRfDte3cDvx8QvAdicz,9_6.wav,ㅏ,2023-09-26T12:32:43.635Z,95qAzR5d0SVmQv1dQKLg3amtOiC2
0MlOzLfD38G7oIp3S6uS,1_5.wav,ㅡ,2023-09-29T14:11:49.690Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0NDJRlKsRQKRRMJfhWwk,4_3.wav,ㅜ,2023-09-21T00:55:59.681Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0NIiqs1uNgaAaJeMH6WY,2_1.wav,ㅗ,2023-09-28T06:42:06.523Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0NIqmJV1gQMmMWBx3zX4,5_10.wav,ㅐ,2023-09-26T13:30:21.613Z,uwgxF6VQmggSKpqimilzt8CCpM42
0NbZ6ayPEdtpt7FrdKYg,10_1.wav,ㅔ,2023-09-27T14:34:28.118Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0NcxiFBkLWwhsNCkSX9D,7_6.wav,ㅔ,2023-10-02T02:35:19.561Z,ueZ3qVI3SFOZ1nWx2Al4Fx0pv2d2
0NmYgO6yUS0JHAAFcATQ,7_5.wav,ㅏ,2023-09-24T07:23:04.742Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0NuU8YTylDGFt0FxVF4H,9_9.wav,ㅔ,2023-09-28T07:59:23.648Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0O69IR4nrNijHOcKg1Zp,6_6.wav,ㅔ,2023-09-27T14:21:21.111Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0Oq1ho8QxTL50rkmLiqi,8_7.wav,ㅓ,2023-09-28T11:38:53.080Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0Os9WNYFUnpM1CCBP6K7,8_1.wav,ㅓ,2023-09-27T16:11:05.221Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0Oy8NVOqiECUiGurfxZx,3_8.wav,ㅣ,2023-09-30T01:01:01.744Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0P8SIXX3ixQIoO2r3iMt,7_3.wav,ㅓ,2023-09-27T01:50:44.542Z,uwgxF6VQmggSKpqimilzt8CCpM42
0Q5ZL10y2XquZQkCumDz,10_10.wav,ㅐ,2023-10-01T13:41:02.340Z,uwgxF6VQmggSKpqimilzt8CCpM42
0QBhcAYYd62UFppskeNt,8_4.wav,ㅓ,2023-09-30T15:52:49.131Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0QDcNhnwx4ETvTV4hzWN,1_6.wav,ㅡ,2023-09-30T15:11:42.713Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0QDtO5i2npXiAQeWkWNo,7_8.wav,ㅔ,2023-09-30T14:58:20.262Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0QFAUk6ZCBz58kxTAGeL,4_2.wav,ㅗ,2023-09-18T14:05:19.632Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0Qcy34XKebelVaMtxMse,2_7.wav,ㅡ,2023-09-27T13:23:00.647Z,yWAbgGiM1DcUw2sCCGIGkU1JguX2
